Date,Symbol,Open,High,Low,Close,Volume
10/8/2015 15:00,BTCUSD,245,245,244.92,244.92,3.016925828
10/8/2015 16:00,BTCUSD,244.92,244.92,244.25,244.25,3.89525246
10/8/2015 17:00,BTCUSD,244.25,244.99,244.02,244.99,3.920632003
10/8/2015 18:00,BTCUSD,244.99,244.99,244,244,3.69047209
10/8/2015 19:00,BTCUSD,244,244,244,244,1.531455679
10/8/2015 20:00,BTCUSD,244,244,243.6,244,0.17704918
10/8/2015 21:00,BTCUSD,244,244,243.95,243.95,0.04132231
10/8/2015 22:00,BTCUSD,243.95,244,243.8,243.95,4.71303031
10/8/2015 23:00,BTCUSD,243.95,243.95,243.72,243.95,5.708259431
10/9/2015 0:00,BTCUSD,243.95,243.95,243.6,243.6,3
10/9/2015 1:00,BTCUSD,243.6,243.6,243.6,243.6,0
10/9/2015 2:00,BTCUSD,243.6,243.6,243.6,243.6,0
10/9/2015 3:00,BTCUSD,243.6,243.6,243.6,243.6,0
10/9/2015 4:00,BTCUSD,243.6,243.6,243.6,243.6,0
10/9/2015 5:00,BTCUSD,243.6,243.6,243.6,243.6,0
10/9/2015 6:00,BTCUSD,243.6,243.6,243.6,243.6,0
10/9/2015 7:00,BTCUSD,243.6,243.6,243.6,243.6,0
10/9/2015 8:00,BTCUSD,243.6,243.6,243.6,243.6,0
10/9/2015 9:00,BTCUSD,243.6,243.6,243.6,243.6,0
10/9/2015 10:00,BTCUSD,243.6,243.6,243.6,243.6,0
10/9/2015 11:00,BTCUSD,243.6,243.75,243.6,243.63,1
10/9/2015 12:00,BTCUSD,243.63,243.63,243.63,243.63,0
10/9/2015 13:00,BTCUSD,243.63,244,243.63,244,3.973254282
10/9/2015 14:00,BTCUSD,244,244,244,244,4.17182852
10/9/2015 15:00,BTCUSD,244,244,244,244,0
10/9/2015 16:00,BTCUSD,244,244,244,244,0
10/9/2015 17:00,BTCUSD,244,244,243.7,243.7,0.229184
10/9/2015 18:00,BTCUSD,243.7,243.7,243.7,243.7,0
10/9/2015 19:00,BTCUSD,243.7,244.06,243.7,244.06,3.43344122
10/9/2015 20:00,BTCUSD,244.06,249.97,244.06,249.97,35.68791657
10/9/2015 21:00,BTCUSD,249.97,249.97,244.75,245.39,4.531416175
10/9/2015 22:00,BTCUSD,245.39,245.39,245.39,245.39,0
10/9/2015 23:00,BTCUSD,245.39,245.39,245.39,245.39,0.0008
10/10/2015 0:00,BTCUSD,245.39,245.39,245.39,245.39,0
10/10/2015 1:00,BTCUSD,245.39,245.54,245.39,245.54,8.119226772
10/10/2015 2:00,BTCUSD,245.54,245.54,245.51,245.51,0.44
10/10/2015 3:00,BTCUSD,245.51,245.51,245.51,245.51,0
10/10/2015 4:00,BTCUSD,245.51,245.51,244.6,245.45,15.97447591
10/10/2015 5:00,BTCUSD,245.45,245.45,245.45,245.45,0
10/10/2015 6:00,BTCUSD,245.45,245.45,245.45,245.45,0
10/10/2015 7:00,BTCUSD,245.45,245.45,245.45,245.45,0
10/10/2015 8:00,BTCUSD,245.45,245.45,245.45,245.45,0
10/10/2015 9:00,BTCUSD,245.45,245.45,245.45,245.45,0
10/10/2015 10:00,BTCUSD,245.45,245.45,245.45,245.45,0
10/10/2015 11:00,BTCUSD,245.45,245.45,244.6,244.6,2.69
10/10/2015 12:00,BTCUSD,244.6,244.6,244.6,244.6,0
10/10/2015 13:00,BTCUSD,244.6,245.18,244.6,245.18,0.997506234
10/10/2015 14:00,BTCUSD,245.18,245.18,245.18,245.18,0
10/10/2015 15:00,BTCUSD,245.18,245.4,245,245.37,6.23239377
10/10/2015 16:00,BTCUSD,245.37,245.37,245.37,245.37,0.41265196
10/10/2015 17:00,BTCUSD,245.37,245.37,245.37,245.37,0
10/10/2015 18:00,BTCUSD,245.37,245.37,245.37,245.37,0
10/10/2015 19:00,BTCUSD,245.37,245.37,245.37,245.37,0
10/10/2015 20:00,BTCUSD,245.37,245.37,245.37,245.37,0
10/10/2015 21:00,BTCUSD,245.37,245.75,245.37,245.75,0.07252265
10/10/2015 22:00,BTCUSD,245.75,245.75,245.75,245.75,0
10/10/2015 23:00,BTCUSD,245.75,246.3,245.75,246.3,4.41
10/11/2015 0:00,BTCUSD,246.3,246.3,246.3,246.3,0
10/11/2015 1:00,BTCUSD,246.3,246.3,246.3,246.3,0
10/11/2015 2:00,BTCUSD,246.3,246.3,246.3,246.3,0.08099878
10/11/2015 3:00,BTCUSD,246.3,246.3,246.3,246.3,0
10/11/2015 4:00,BTCUSD,246.3,246.3,246.3,246.3,0
10/11/2015 5:00,BTCUSD,246.3,246.3,246.3,246.3,0
10/11/2015 6:00,BTCUSD,246.3,246.3,246.3,246.3,0
10/11/2015 7:00,BTCUSD,246.3,246.3,246.3,246.3,0
10/11/2015 8:00,BTCUSD,246.3,246.3,246.3,246.3,0
10/11/2015 9:00,BTCUSD,246.3,246.3,246.3,246.3,0
10/11/2015 10:00,BTCUSD,246.3,246.3,246.3,246.3,0
10/11/2015 11:00,BTCUSD,246.3,246.3,246.3,246.3,0
10/11/2015 12:00,BTCUSD,246.3,246.3,246.3,246.3,0
10/11/2015 13:00,BTCUSD,246.3,246.3,246.3,246.3,0
10/11/2015 14:00,BTCUSD,246.3,246.3,246.3,246.3,0
10/11/2015 15:00,BTCUSD,246.3,246.3,246.3,246.3,0
10/11/2015 16:00,BTCUSD,246.3,246.5,245.96,246.5,7.32378358
10/11/2015 17:00,BTCUSD,246.5,248.24,246.5,248.24,2.597561964
10/11/2015 18:00,BTCUSD,248.24,248.24,248.24,248.24,0.401831387
10/11/2015 19:00,BTCUSD,248.24,248.24,248.24,248.24,0.24165162
10/11/2015 20:00,BTCUSD,248.24,248.24,248.24,248.24,0
10/11/2015 21:00,BTCUSD,248.24,248.24,247.77,247.77,0.5953185
10/11/2015 22:00,BTCUSD,247.77,248.24,247.77,248.24,2.843825279
10/11/2015 23:00,BTCUSD,248.24,249.5,248.24,249.5,0.402811833
10/12/2015 0:00,BTCUSD,249.5,249.5,249,249,0.40160642
10/12/2015 1:00,BTCUSD,249,249,249,249,0
10/12/2015 2:00,BTCUSD,249,249,249,249,0
10/12/2015 3:00,BTCUSD,249,249,248.98,248.98,7.9387
10/12/2015 4:00,BTCUSD,248.98,248.98,248.71,248.71,0.23
10/12/2015 5:00,BTCUSD,248.71,248.71,248.71,248.71,0
10/12/2015 6:00,BTCUSD,248.71,248.71,248.71,248.71,0
10/12/2015 7:00,BTCUSD,248.71,248.71,248.71,248.71,0
10/12/2015 8:00,BTCUSD,248.71,248.71,248.71,248.71,0.86
10/12/2015 9:00,BTCUSD,248.71,248.71,248.71,248.71,0
10/12/2015 10:00,BTCUSD,248.71,248.71,248.71,248.71,0.41
10/12/2015 11:00,BTCUSD,248.71,248.71,247.72,247.72,9.79027351
